bin1_start	bin1_end	bin2_start	bin2_end
5115000	5116000	5116000	5117000
5116000	5117000	5120000	5121000
5116000	5117000	5121000	5122000
5115000	5116000	5121000	5122000
5121000	5122000	5122000	5123000
5117000	5118000	5124000	5125000
5117000	5118000	5125000	5126000
5120000	5121000	5125000	5126000
5117000	5118000	5128000	5129000
5125000	5126000	5128000	5129000
5120000	5121000	5128000	5129000
5120000	5121000	5135000	5136000
5116000	5117000	5135000	5136000
5115000	5116000	5135000	5136000
5121000	5122000	5135000	5136000
5125000	5126000	5136000	5137000
5120000	5121000	5136000	5137000
5116000	5117000	5136000	5137000
5135000	5136000	5136000	5137000
5115000	5116000	5136000	5137000
5117000	5118000	5138000	5139000
5128000	5129000	5138000	5139000
5125000	5126000	5138000	5139000
5120000	5121000	5138000	5139000
5136000	5137000	5138000	5139000
5117000	5118000	5144000	5145000
5128000	5129000	5144000	5145000
5125000	5126000	5144000	5145000
5138000	5139000	5144000	5145000
5124000	5125000	5145000	5146000
5117000	5118000	5145000	5146000
5144000	5145000	5145000	5146000
5128000	5129000	5145000	5146000
5125000	5126000	5145000	5146000
5124000	5125000	5155000	5156000
5145000	5146000	5155000	5156000
5117000	5118000	5155000	5156000
5144000	5145000	5155000	5156000
5128000	5129000	5155000	5156000
5125000	5126000	5155000	5156000
5138000	5139000	5155000	5156000
5124000	5125000	5156000	5157000
5145000	5146000	5156000	5157000
5155000	5156000	5156000	5157000
5117000	5118000	5156000	5157000
5144000	5145000	5156000	5157000
5128000	5129000	5156000	5157000
5125000	5126000	5156000	5157000
5135000	5136000	5157000	5158000
5115000	5116000	5157000	5158000
5121000	5122000	5157000	5158000
5122000	5123000	5157000	5158000
5138000	5139000	5160000	5161000
5120000	5121000	5160000	5161000
5136000	5137000	5160000	5161000
5116000	5117000	5160000	5161000
5135000	5136000	5160000	5161000
5115000	5116000	5160000	5161000
5138000	5139000	5166000	5167000
5120000	5121000	5166000	5167000
5136000	5137000	5166000	5167000
5160000	5161000	5166000	5167000
5116000	5117000	5166000	5167000
5135000	5136000	5166000	5167000
5115000	5116000	5166000	5167000
5128000	5129000	5177000	5178000
5125000	5126000	5177000	5178000
5138000	5139000	5177000	5178000
5120000	5121000	5177000	5178000
5136000	5137000	5177000	5178000
5166000	5167000	5177000	5178000
5160000	5161000	5177000	5178000
5116000	5117000	5177000	5178000
5135000	5136000	5177000	5178000
5145000	5146000	5178000	5179000
5156000	5157000	5178000	5179000
5155000	5156000	5178000	5179000
5117000	5118000	5178000	5179000
5144000	5145000	5178000	5179000
5128000	5129000	5178000	5179000
5125000	5126000	5178000	5179000
5138000	5139000	5178000	5179000
5120000	5121000	5178000	5179000
5177000	5178000	5178000	5179000
5124000	5125000	5182000	5183000
5145000	5146000	5182000	5183000
5156000	5157000	5182000	5183000
5155000	5156000	5182000	5183000
5117000	5118000	5182000	5183000
5144000	5145000	5182000	5183000
5128000	5129000	5182000	5183000
5178000	5179000	5182000	5183000
5125000	5126000	5182000	5183000
5138000	5139000	5184000	5185000
5120000	5121000	5184000	5185000
5177000	5178000	5184000	5185000
5136000	5137000	5184000	5185000
5166000	5167000	5184000	5185000
5160000	5161000	5184000	5185000
5116000	5117000	5184000	5185000
5135000	5136000	5184000	5185000
5115000	5116000	5184000	5185000
5122000	5123000	5190000	5191000
5134000	5135000	5190000	5191000
5116000	5117000	5196000	5197000
5135000	5136000	5196000	5197000
5115000	5116000	5196000	5197000
5121000	5122000	5196000	5197000
5157000	5158000	5196000	5197000
5122000	5123000	5196000	5197000
5134000	5135000	5197000	5198000
5123000	5124000	5197000	5198000
5117000	5118000	5198000	5199000
5144000	5145000	5198000	5199000
5128000	5129000	5198000	5199000
5178000	5179000	5198000	5199000
5125000	5126000	5198000	5199000
5138000	5139000	5198000	5199000
5120000	5121000	5198000	5199000
5177000	5178000	5198000	5199000
5136000	5137000	5198000	5199000
5166000	5167000	5198000	5199000
5184000	5185000	5198000	5199000
5160000	5161000	5198000	5199000
5168000	5169000	5199000	5200000
5124000	5125000	5199000	5200000
5182000	5183000	5199000	5200000
5145000	5146000	5199000	5200000
5156000	5157000	5199000	5200000
5168000	5169000	5200000	5201000
5199000	5200000	5200000	5201000
5121000	5122000	5202000	5203000
5196000	5197000	5202000	5203000
5157000	5158000	5202000	5203000
5122000	5123000	5202000	5203000
5166000	5167000	5204000	5205000
5184000	5185000	5204000	5205000
5160000	5161000	5204000	5205000
5116000	5117000	5204000	5205000
5135000	5136000	5204000	5205000
5115000	5116000	5204000	5205000
5121000	5122000	5204000	5205000
5196000	5197000	5204000	5205000
5157000	5158000	5204000	5205000
5124000	5125000	5208000	5209000
5182000	5183000	5208000	5209000
5145000	5146000	5208000	5209000
5156000	5157000	5208000	5209000
5155000	5156000	5208000	5209000
5117000	5118000	5208000	5209000
5144000	5145000	5208000	5209000
5128000	5129000	5208000	5209000
5178000	5179000	5208000	5209000
5125000	5126000	5208000	5209000
5198000	5199000	5216000	5217000
5120000	5121000	5216000	5217000
5177000	5178000	5216000	5217000
5136000	5137000	5216000	5217000
5166000	5167000	5216000	5217000
5184000	5185000	5216000	5217000
5160000	5161000	5216000	5217000
5116000	5117000	5216000	5217000
5135000	5136000	5216000	5217000
5115000	5116000	5216000	5217000
5204000	5205000	5216000	5217000
5121000	5122000	5216000	5217000
5216000	5217000	5217000	5218000
5116000	5117000	5217000	5218000
5135000	5136000	5217000	5218000
5115000	5116000	5217000	5218000
5204000	5205000	5217000	5218000
5121000	5122000	5217000	5218000
5196000	5197000	5217000	5218000
5157000	5158000	5217000	5218000
5202000	5203000	5217000	5218000
5122000	5123000	5217000	5218000
5125000	5126000	5218000	5219000
5138000	5139000	5218000	5219000
5198000	5199000	5218000	5219000
